Activity Period,Passenger Count,GEO Region
201906,9013,Asia
201903,9674,Europe
201904,8506,Asia
201909,566,Asia
201909,72201,Asia
201908,12694,Australia / Oceania
201901,14291,Asia
201908,151760,US
201904,2834,Australia / Oceania
201909,4828,Europe
201903,1092,Australia / Oceania
201909,8585,Asia
201903,7892,Europe
201909,220965,US
201907,11038,Asia
201907,46,US
201901,144789,US
201902,9291,Europe
201902,10338,Australia / Oceania
201903,14210,Middle East
201902,206742,US
201909,17840,US
201902,1306,Europe
201907,9719,Canada
201907,3659,Europe
201907,4691,Europe
201901,9202,Europe
201902,6919,Central America
201909,7522,Asia
201902,4553,Canada
201909,1031,Europe
201909,2846,Mexico
201901,27800,Asia
201903,3081,Europe
201907,6861,Europe
201907,12131,Australia / Oceania
201908,6989,Europe
201909,11606,Mexico
201907,6396,Australia / Oceania
201907,164540,US
201903,1962,Australia / Oceania
201902,330032,US
201907,7037,Europe
201902,8966,US
201905,8828,Asia
201902,11182,Mexico
201903,12512,Mexico
201906,21044,Europe
201903,9430,Mexico
201907,18800,US
201901,9743,Asia
201901,3956,Canada
201905,1888,Europe
201902,6121,Asia
201907,9150,Mexico
201903,6857,Middle East
201909,11361,Asia
201905,8372,Middle East
201901,10905,Mexico
201903,22822,Asia
201908,15034,Mexico
201901,5578,Canada
201906,10264,Europe
201901,5765,Europe
201901,6444,Europe
