GEO Region,Price Category Code,Passenger Count
Europe,Other,6203
Asia,Other,8232
US,Other,137377
South America,Other,2718
Mexico,Low Fare,3671
Central America,Other,8080
US,Other,59159
US,Other,30319
Asia,Other,3946
US,Low Fare,141331
Mexico,Low Fare,3382
US,Other,64280
Asia,Other,4527
Canada,Other,29772
Europe,Other,2161
Europe,Other,22412
Mexico,Other,8822
Europe,Other,20308
Central America,Other,11324
Canada,Other,7015
Canada,Other,6643
Mexico,Low Fare,6436
Australia / Oceania,Other,861
Europe,Other,21996
US,Other,13486
Asia,Other,3672
Europe,Other,143
Australia / Oceania,Other,13540
Europe,Other,16716
US,Other,457074
Canada,Other,12008
US,Other,32116
Canada,Other,35156
Asia,Other,12751
US,Low Fare,59583
Asia,Other,7868
Mexico,Other,7645
Asia,Other,13515
Asia,Other,22065
US,Other,18261
Asia,Other,6064
Canada,Other,431
US,Other,27640
Canada,Other,7563
Mexico,Other,6771
US,Other,48923
US,Other,43068
South America,Other,2488
US,Other,24678
Asia,Other,16577
Asia,Other,16180
Europe,Other,19340
Asia,Other,9167
US,Other,136285
Asia,Other,5615
US,Other,59242
Australia / Oceania,Other,5146
Australia / Oceania,Other,4805
Asia,Other,9280
US,Low Fare,115675
US,Other,18206
Asia,Other,6853
Australia / Oceania,Other,3192
Europe,Other,8721
US,Other,4432
Mexico,Other,13837
US,Low Fare,4784
Canada,Other,6136
Europe,Other,8925
US,Low Fare,31327
Europe,Other,16551
US,Other,10112
Europe,Other,6708
Europe,Other,7511
US,Other,3044
Middle East,Other,4938
Asia,Other,13206
US,Other,1277
Mexico,Other,7429
US,Other,140450
US,Other,145325
Mexico,Other,5167
Asia,Other,4895
Canada,Other,945
Mexico,Other,4643
Canada,Other,10330
US,Low Fare,2719
Europe,Other,9216
Australia / Oceania,Other,7572
Mexico,Other,7854
Canada,Other,6181
Canada,Other,17568
US,Other,68600
Asia,Other,8751
US,Other,8686
US,Low Fare,131366
Australia / Oceania,Other,7364
Australia / Oceania,Other,5522
US,Other,117571
Asia,Other,11031
US,Low Fare,28928
US,Other,4799
US,Other,56319
US,Low Fare,50788
Europe,Other,9000
US,Other,64435
Mexico,Other,2658
US,Other,40339
Asia,Other,5412
Asia,Other,18137
US,Other,140814
Mexico,Other,2323
US,Low Fare,142779
Mexico,Other,2595
Europe,Other,640
Canada,Other,2394
US,Other,125493
US,Low Fare,66009
Mexico,Other,4962
